Season;Country;Driver;Age;Car No.;Team;Engine;Tyres;Poles;Wins;Podiums;Fastest Laps;Points;Clinched;Race;Point Margin
1950;Italy;Giuseppe Farina;44;-1;Italy Alfa Romeo;Alfa Romeo;P;2;3;3;3;30;Race 7 of 7;Italian Grand Prix;3
1951;Argentina;Juan Manuel Fangio;40;-1;Italy Alfa Romeo;Alfa Romeo;P;4;3;5;5;31;Race 8 of 8;Spanish Grand Prix;6
1952;Italy;Alberto Ascari;34;-1;Italy Ferrari;Ferrari;F P;5;6;6;6;36;Race 6 of 8;German Grand Prix;12
1953;Italy;Alberto Ascari;35;-1;Italy Ferrari;Ferrari;P;6;5;5;4;34.5;Race 8 of 9;Swiss Grand Prix;6.5
1954;Argentina;Juan Manuel Fangio;43;-1;Italy Maserati2;Maserati;P;5;6;7;3;42;Race 7 of 9;Swiss Grand Prix;16.86
1955;Argentina;Juan Manuel Fangio;44;-1;West Germany Mercedes;Mercedes;C;3;4;5;3;40;Race 6 of 7;British Grand Prix;16.5
1956;Argentina;Juan Manuel Fangio;45;-1;Italy Ferrari;Ferrari;E;6;3;5;4;30;Race 8 of 8;Italian Grand Prix;3
1957;Argentina;Juan Manuel Fangio;46;-1;Italy Maserati;Maserati;P;4;4;6;2;40;Race 6 of 8;German Grand Prix;15
1958;United Kingdom;Mike Hawthorn;29;-1;Italy Ferrari;Ferrari;E;4;1;7;5;42;Race 11 of 11;Moroccan Grand Prix;1
1959;Australia;Jack Brabham;33;-1;United Kingdom Cooper;Climax;D;1;2;5;1;31;Race 9 of 9;United States Grand Prix;4
1960;Australia;Jack Brabham;34;-1;United Kingdom Cooper;Climax;D;3;5;5;3;43;Race 8 of 10;Portuguese Grand Prix;9
1961;United States;Phil Hill;34;-1;Italy Ferrari;Ferrari;D;5;2;6;2;34;Race 7 of 8;Italian Grand Prix;1
1962;United Kingdom;Graham Hill;33;-1;United Kingdom BRM;BRM;D;1;4;6;3;42;Race 9 of 9;South African Grand Prix;12
1963;United Kingdom;Jim Clark;27;-1;United Kingdom Lotus;Climax;D;7;7;9;6;54;Race 7 of 10;Italian Grand Prix;21
1964;United Kingdom;John Surtees;30;-1;Italy Ferrari;Ferrari;D;2;2;6;2;40;Race 10 of 10;Mexican Grand Prix;1
1965;United Kingdom;Jim Clark;29;-1;United Kingdom Lotus;Climax;D;6;6;6;6;54;Race 7 of 10;German Grand Prix;14
1966;Australia;Jack Brabham;40;-1;United Kingdom Brabham;Repco;G;3;4;5;1;42;Race 7 of 9;Italian Grand Prix;14
1967;New Zealand;Denny Hulme;31;-1;United Kingdom Brabham;Repco;G;0;2;8;2;51;Race 11 of 11;Mexican Grand Prix;5
1968;United Kingdom;Graham Hill;39;-1;United Kingdom Lotus;Ford;F;2;3;6;0;48;Race 12 of 12;Mexican Grand Prix;12
1969;United Kingdom;Jackie Stewart;30;-1;France Matra;Ford;D;2;6;7;5;63;Race 8 of 11;Italian Grand Prix;26
1970;Austria;Jochen Rindt;28;-1;United Kingdom Lotus;Ford;F;3;5;5;1;45;Race 12 of 133;United States Grand Prix;5
1971;United Kingdom;Jackie Stewart;32;-1;United Kingdom Tyrrell;Ford;G;6;6;7;3;62;Race 8 of 11;Austrian Grand Prix;29
1972;Brazil;Emerson Fittipaldi;25;-1;United Kingdom Lotus;Ford;F;3;5;8;0;61;Race 10 of 12;Italian Grand Prix;16
1973;United Kingdom;Jackie Stewart;34;-1;United Kingdom Tyrrell;Ford;G;3;5;8;1;71;Race 13 of 15;Italian Grand Prix;16
1974;Brazil;Emerson Fittipaldi;27;5;United Kingdom McLaren;Ford;G;2;3;7;0;55;Race 15 of 15;United States Grand Prix;3
1975;Austria;Niki Lauda;26;12;Italy Ferrari;Ferrari;G;9;5;8;2;64.5;Race 13 of 14;Italian Grand Prix;19.5
1976;United Kingdom;James Hunt;29;11;United Kingdom McLaren;Ford;G;8;6;8;2;69;Race 16 of 16;Japanese Grand Prix;1
1977;Australia;ki Lauda;28;11;Italy Ferrari;Ferrari;G;2;3;10;3;72;Race 15 of 17;United States Grand Prix East;17
1978;United States;Mario Andretti;38;5;United Kingdom Lotus;Ford;G;8;6;7;3;64;Race 14 of 16;Italian Grand Prix;13
1979;South Africa;Jody Scheckter;29;11;Italy Ferrari;Ferrari;M;1;3;6;0;51;Race 13 of 15;Italian Grand Prix;4
1980;Australia;Alan Jones;34;27;United Kingdom Williams;Ford;G;3;5;10;5;67;Race 13 of 14;Canadian Grand Prix;13
1981;Brazil;Nelson Piquet;29;5;United Kingdom Brabham;Ford;M G;4;3;7;1;50;Race 15 of 15;Caesars Palace Grand Prix;1
1982;Finland;Keke Rosberg;34;6;United Kingdom Williams;Ford;G;1;1;6;0;44;Race 16 of 16;Caesars Palace Grand Prix;5
1983;Brazil;Nelson Piquet;31;5;United Kingdom Brabham;BMW;M;1;3;8;4;59;Race 15 of 15;South African Grand Prix;2
1984;Austria;Niki Lauda;35;8;United Kingdom McLaren;TAG;M;0;5;9;5;72;Race 16 of 16;Portuguese Grand Prix;0.5
1985;France;Alain Prost;30;2;United Kingdom McLaren;TAG;G;2;5;11;5;73;Race 14 of 16;European Grand Prix;20
1986;France;Alain Prost;31;1;United Kingdom McLaren;TAG;G;1;4;11;2;72;Race 16 of 16;Australian Grand Prix;2
1987;Brazil;Nelson Piquet;35;6;United Kingdom Williams;Honda;G;4;3;11;4;73;Race 15 of 16;Japanese Grand Prix;12
1988;Brazil;Ayrton Senna;28;12;United Kingdom McLaren;Honda;G;13;8;11;3;90;Race 15 of 16;Japanese Grand Prix;3
1989;France;Alain Prost;34;2;United Kingdom McLaren;Honda;G;2;4;11;5;76;Race 15 of 16;Japanese Grand Prix;16
1990;Brazil;Ayrton Senna;30;27;United Kingdom McLaren;Honda;G;10;6;11;2;78;Race 15 of 16;Japanese Grand Prix;7
1991;Brazil;Ayrton Senna;31;1;United Kingdom McLaren;Honda;G;8;7;12;2;96;Race 15 of 16;Japanese Grand Prix;24
1992;United Kingdom;Nigel Mansell;39;5;United Kingdom Williams;Renault;G;14;9;12;8;108;Race 11 of 16;Hungarian Grand Prix;52
1993;France;Alain Prost;38;2;United Kingdom Williams;Renault;G;13;7;12;6;99;Race 14 of 16;Portuguese Grand Prix;26
1994;Germany;Michael Schumacher;25;5;United Kingdom Benetton;Ford;G;6;8;10;8;92;Race 16 of 16;Australian Grand Prix;1
1995;Germany;Michael Schumacher;26;1;United Kingdom Benetton;Renault;G;4;9;11;8;102;Race 15 of 17;Pacific Grand Prix;33
1996;United Kingdom;Damon Hill;36;5;United Kingdom Williams;Renault;G;9;8;10;5;97;Race 16 of 16;Japanese Grand Prix;19
1997;Canada;Jacques Villeneuve;26;3;United Kingdom Williams;Renault;G;10;7;8;3;81;Race 17 of 17;European Grand Prix;39 (3)4
1998;Finland;Mika Häkkinen;30;8;United Kingdom McLaren;Mercedes;B;9;8;11;6;100;Race 16 of 16;Japanese Grand Prix;14
1999;Finland;Mika Häkkinen;31;1;United Kingdom McLaren;Mercedes;B;11;5;10;6;76;Race 16 of 16;Japanese Grand Prix;2
2000;Germany;Michael Schumacher;31;3;Italy Ferrari;Ferrari;B;9;9;12;2;108;Race 16 of 17;Japanese Grand Prix;19
2001;Germany;Michael Schumacher;32;1;Italy Ferrari;Ferrari;B;11;9;14;3;123;Race 13 of 17;Hungarian Grand Prix;58
2002;Germany;Michael Schumacher;33;1;Italy Ferrari;Ferrari;B;7;11;17;7;144;Race 11 of 17;French Grand Prix;67
2003;Germany;Michael Schumacher;34;1;Italy Ferrari;Ferrari;B;5;6;8;5;93;Race 16 of 16;Japanese Grand Prix;2
2004;Germany;Michael Schumacher;35;1;Italy Ferrari;Ferrari;B;8;13;15;10;148;Race 14 of 18;Belgian Grand Prix;34
2005;Spain;Fernando Alonso;24;5;France Renault;Renault;M;6;7;15;2;133;Race 17 of 19;Brazilian Grand Prix;21
2006;Spain;Fernando Alonso;25;1;France Renault;Renault;M;6;7;14;5;134;Race 18 of 18;Brazilian Grand Prix;13
2007;Finland;Kimi Räikkönen;28;6;Italy Ferrari;Ferrari;B;3;6;12;6;110;Race 17 of 17;Brazilian Grand Prix;1
2008;United Kingdom;Lewis Hamilton;23;22;United Kingdom McLaren;Mercedes;B;7;5;10;1;98;Race 18 of 18;Brazilian Grand Prix;1
2009;United Kingdom;Jenson Button;29;22;United Kingdom Brawn;Mercedes;B;4;6;9;2;95;Race 16 of 17;Brazilian Grand Prix;11
2010;Germany;Sebastian Vettel;23;5;Austria Red Bull;Renault;B;10;5;10;3;256;Race 19 of 19;Abu Dhabi Grand Prix;4
2011;Germany;Sebastian Vettel;24;1;Austria Red Bull;Renault;P;15;11;17;3;392;Race 15 of 19;Japanese Grand Prix;122
2012;Germany;Sebastian Vettel;25;1;Austria Red Bull;Renault;P;6;5;10;6;281;Race 20 of 20;Brazilian Grand Prix;3
2013;Germany;Sebastian Vettel;26;1;Austria Red Bull;Renault;P;9;13;16;7;397;Race 16 of 19;Indian Grand Prix;155
2014;United Kingdom;Lewis Hamilton;29;44;Germany Mercedes;Mercedes;P;7;11;16;7;384;Race 19 of 19;Abu Dhabi Grand Prix;67
2015;United Kingdom;Lewis Hamilton;30;44;Germany Mercedes;Mercedes;P;11;10;17;8;381;Race 16 of 19;United States Grand Prix;59
2016;Germany;Nico Rosberg;31;6;Germany Mercedes;Mercedes;P;8;9;16;6;385;Race 21 of 21;Abu Dhabi Grand Prix;5
